"Logradouro/Nome","Bairro/Distrito","Localidade/UF","CEP"
"Rua Albuquerque Lins ","Farol ","Maceió/AL ","57055-270"
"Travessa Albuquerque Lins ","Farol ","Maceió/AL ","57055-275"
"Avenida Albuquerque Lins - lado ímpar ","Humberto Alves ","São Miguel dos Campos/AL ","57242-085"
"Avenida Albuquerque Lins - lado par ","Bela Vista ","São Miguel dos Campos/AL ","57241-409"
"Rua Albuquerque Lins ","Rio Branco ","Caxias do Sul/RS ","95099-490"
"Rua Albuquerque Lins ","Vila Riman ","Arujá/SP ","07401-360"
"Rua Albuquerque Lins ","Vila Falcão ","Bauru/SP ","17050-010"
"Rua Albuquerque Lins ","Jardim García ","Campinas/SP ","13061-110"
"Rua Albuquerque Lins ","Retiro da Mantiqueira ","Cruzeiro/SP ","12712-630"
"Rua Albuquerque Lins ","Vila Bazu ","Franco da Rocha/SP ","07840-070"
"Rua Albuquerque Lins ","Alto das Almas ","Guaratinguetá/SP ","12503-080"
"Rua Albuquerque Lins ","Labaté ","Lins/SP ","16400-560"
"Rua Albuquerque Lins ","Parque São Vicente ","Mauá/SP ","09371-270"
"Avenida Albuquerque Lins ","Parque São Benedito ","Pindamonhangaba/SP ","12410-030"
"Avenida Albuquerque Lins - até 99998/99999 ","Jardim Rosely ","Pindamonhangaba/SP ","12410-732"
"Rua Albuquerque Lins ","Parque Bela Vista ","Piracicaba/SP ","13408-214"
"Rua Albuquerque Lins ","Ponte Seca ","Ribeirão Pires/SP ","09412-020"
"Rua Albuquerque Lins ","Jardim Paulista ","Ribeirão Preto/SP ","14090-010"
"Rua Albuquerque Lins - até 318/319 ","Vila Teixeira ","Salto/SP ","13320-340"
"Rua Albuquerque Lins - de 320/321 ao fim ","Vila Romão ","Salto/SP ","13321-093"
"Rua Doutor Albuquerque Lins ","Centro ","Santo André/SP ","09010-010"
"Rua Doutor Albuquerque Lins - lado ímpar ","Santa Cecília ","São Paulo/SP ","01230-001"
"Rua Doutor Albuquerque Lins - lado par ","Santa Cecília ","São Paulo/SP ","01230-000"
"Rua Albuquerque Lins ","Vila Gomes ","Sorocaba/SP ","18075-070"
"Rua Edgar de Albuquerque Lins ","Altiplano Cabo Branco ","João Pessoa/PB ","58046-485"
"Rua Presidente Manoel Joaquim Albuquerque Lins ","Jardim Vista Alegre ","Limeira/SP ","13487-050"
"Conjunto José Tenório de Albuquerque Lins ","Serraria ","Maceió/AL ","57046-350"
"Rua Enaldo de Albuquerque Lins ","Núcleo Habitacional Ulisses Guimarães ","Lins/SP ","16402-169"
"Rua Coronel João Albuquerque Lins de Barros ","Parque São Vicente ","Mauá/SP ","09371-180"
"Rua Coronel Silvio Lins de Albuquerque ","Indústrias ","João Pessoa/PB ","58083-403"
"Rua Geraldo Lins Gonçalves de Albuquerque ","Municípios ","Santa Rita/PB ","58303-347"
"Rua Hilda Lins Cavalcante Albuquerque ","Nossa Senhora das Graças ","Gravatá/PE ","55642-445"
"Rua Doutor Ulysses Lins de Albuquerque ","Boa Viagem ","Recife/PE ","51130-210"
"Rua João Lins Carneiro Albuquerque Filho ","Jardins ","Aracaju/SE ","49025-745"
"Rua Rosa Lins Albuquerque ","Vila Rei ","Mogi das Cruzes/SP ","08717-880"
"Rua Anisberto Lins de Albuquerque ","Oitizeiro ","João Pessoa/PB ","58088-784"
"Rua José Lins de Albuquerque ","Alto do Céu ","João Pessoa/PB ","58027-788"
"Rua Olívio Lins de Albuquerque ","Santana ","Gravatá/PE ","55645-743"
"Rua Doutor Nelson Lins d'Albuquerque ","Bom Retiro ","Curitiba/PR ","80520-430"
"Rua Randolpho Lins de Albuquerque ","Centro ","São Gonçalo do Amarante/RN ","59291-562"
"Rua João Lins de Albuquerque ","Ressaca ","Itapecerica da Serra/SP ","06887-507"
"Rua José Lins de Albuquerque ","Jardim Cliper ","São Paulo/SP ","04827-200"
